question,choice_1,choice_2,choice_3,choice_4,year,field,internal,answer,grammer,vocab,old_system,reading_text
"Have you ever had an x-ray taken? If you have had a broken bone, toothache, or taken a
suitcase on an airplane you (88) ... have. At the dentist you put the film inside
your mouth. An x ray is a special way (89) ... a picture of a bone, tooth, or
(90) ... concealed from direct sight. X rays are useful in many ways. By reading
an X ray, a doctor can see if a bone is broken or if a tooth has a cavity. The x ray process
(91) ... in 1895. X rays are useful in finding other hidden things, too. For example,
bags at an airport are x-rayed to see if any dangerous items are inside without having
(92)... and Iook in each one,",opened,opening,to open,been opened,94.0,0.0,1.0,3.0,,,,
What is the passage mainly about?,The life ofa Polish school boy,Invention of a universal language,How Esperanto has helped people,How people often do not understand each other,94.0,0.0,1.0,2.0,,,,"For many years people have been trying to create a simple universal language that would serve all over the world as a common means of communication. In the last three hundred years, more than seven hundred such languages have been suggested. The most successful and the most popular of these is a language called Esperanto. It was invented by Ludwig Zamenhof, who lived in Poland. When he was growing up, he saw that people from different backgrounds who lived in Poland had lots of difficulties communicating with each other. This often led to disagreements. Ludwig felt that a common language would help them understand each other better and agree with each other. So he began working on a common international language. He started his work while he was still at school! In 1887, he published some information about his new language. He did not use his real name. He used the name Dr. Esperanto (which means ""one who hopes""). Soon people from all over the world became interested in his language, called Esperanto. Today, Esperanto is spoken by about eight million people throughout the world. Many governments and international organizations recognize it in many ways. Esperanto is often used on radio broadcasts from official government stations."
"What does the word ""these"" in line 4 refer to?",Years,Means,People,Languages,94.0,0.0,1.0,4.0,,,,"For many years people have been trying to create a simple universal language that would serve all over the world as a common means of communication. In the last three hundred years, more than seven hundred such languages have been suggested. The most successful and the most popular of these is a language called Esperanto. It was invented by Ludwig Zamenhof, who lived in Poland. When he was growing up, he saw that people from different backgrounds who lived in Poland had lots of difficulties communicating with each other. This often led to disagreements. Ludwig felt that a common language would help them understand each other better and agree with each other. So he began working on a common international language. He started his work while he was still at school! In 1887, he published some information about his new language. He did not use his real name. He used the name Dr. Esperanto (which means ""one who hopes""). Soon people from all over the world became interested in his language, called Esperanto. Today, Esperanto is spoken by about eight million people throughout the world. Many governments and international organizations recognize it in many ways. Esperanto is often used on radio broadcasts from official government stations."
Which of the following statements is TRUE?,"Ludwig was afraid of people, so he changed his name.",Ludwig started to work on his idea when he was very young.,Esperanto has been widely used for the last three hundred years.,"May people did not understand Ludwig, so they disagreed with him.",94.0,0.0,1.0,2.0,,,,"For many years people have been trying to create a simple universal language that would serve all over the world as a common means of communication. In the last three hundred years, more than seven hundred such languages have been suggested. The most successful and the most popular of these is a language called Esperanto. It was invented by Ludwig Zamenhof, who lived in Poland. When he was growing up, he saw that people from different backgrounds who lived in Poland had lots of difficulties communicating with each other. This often led to disagreements. Ludwig felt that a common language would help them understand each other better and agree with each other. So he began working on a common international language. He started his work while he was still at school! In 1887, he published some information about his new language. He did not use his real name. He used the name Dr. Esperanto (which means ""one who hopes""). Soon people from all over the world became interested in his language, called Esperanto. Today, Esperanto is spoken by about eight million people throughout the world. Many governments and international organizations recognize it in many ways. Esperanto is often used on radio broadcasts from official government stations."
What do we understand about Ludwig Zamenhof?,He was hopeful that his invention would become successful one day.,He had difficulty communicating with people when he was growing up.,He spoke to eight million people in Esperanto.,"He worked at an official radio station,",94.0,0.0,1.0,1.0,,,,"For many years people have been trying to create a simple universal language that would serve all over the world as a common means of communication. In the last three hundred years, more than seven hundred such languages have been suggested. The most successful and the most popular of these is a language called Esperanto. It was invented by Ludwig Zamenhof, who lived in Poland. When he was growing up, he saw that people from different backgrounds who lived in Poland had lots of difficulties communicating with each other. This often led to disagreements. Ludwig felt that a common language would help them understand each other better and agree with each other. So he began working on a common international language. He started his work while he was still at school! In 1887, he published some information about his new language. He did not use his real name. He used the name Dr. Esperanto (which means ""one who hopes""). Soon people from all over the world became interested in his language, called Esperanto. Today, Esperanto is spoken by about eight million people throughout the world. Many governments and international organizations recognize it in many ways. Esperanto is often used on radio broadcasts from official government stations."
Which of the following is TRUE about the difference between weather and climate?,Weather refers to predictable atmospheric conditions.,Climate refers to conditions such as rain and wind.,Weather is a fixed climatic pattern in a region.,Climate refers to a more constant condition.,94.0,0.0,1.0,4.0,,,,"Weather describes conditions, such as rain, wind, and sunshine, that occur during a short period of time in a particular place; climate is the overall pattern of weather in a region. From one moment to the next the weather can change. A warm, sunny day can be overtaken by a violent storm. Dark clouds form, high winds blow, and rain lashes the ground, yet it may be only a few minutes before the sunny weather returns. However, in some parts of the world, such as in parts of the tropics, the weather barely changes for months at a time. There it is always hot and heavy rains fall. Meteorologists are scientists who measure and forecast the weather. They do this by studying clouds, winds, and the temperature and pressure of Earthâ€™s atmosphere. But despite the use of satellites, computers, and other technology in weather forecasting, weather remains a force of nature that is hard to predict. Several thousand weather stations on land, ships, and aircraft measure weather conditions around the world. The stations contain instruments that record temperature, rainfall, the speed and direction of wind, air pressure, and humidity (the amount of water vapor in the air). Balloons called radiosondes carry instruments to take measurements high in the air. Weather satellites in space send back pictures of the clouds."
"According to the passage, which of the following do meteorologists NOT do when forecasting weather?",They study clouds.,They study winds.,They go high in the air in speciat balloons.,They examine the pressure of Earth's atmosphere.,94.0,0.0,1.0,3.0,,,,"Weather describes conditions, such as rain, wind, and sunshine, that occur during a short period of time in a particular place; climate is the overall pattern of weather in a region. From one moment to the next the weather can change. A warm, sunny day can be overtaken by a violent storm. Dark clouds form, high winds blow, and rain lashes the ground, yet it may be only a few minutes before the sunny weather returns. However, in some parts of the world, such as in parts of the tropics, the weather barely changes for months at a time. There it is always hot and heavy rains fall. Meteorologists are scientists who measure and forecast the weather. They do this by studying clouds, winds, and the temperature and pressure of Earthâ€™s atmosphere. But despite the use of satellites, computers, and other technology in weather forecasting, weather remains a force of nature that is hard to predict. Several thousand weather stations on land, ships, and aircraft measure weather conditions around the world. The stations contain instruments that record temperature, rainfall, the speed and direction of wind, air pressure, and humidity (the amount of water vapor in the air). Balloons called radiosondes carry instruments to take measurements high in the air. Weather satellites in space send back pictures of the clouds."
"What does the word ""barely"" in line 6 mean?",Never,Often,Seldom,Occasionally,94.0,0.0,1.0,3.0,,,,"Weather describes conditions, such as rain, wind, and sunshine, that occur during a short period of time in a particular place; climate is the overall pattern of weather in a region. From one moment to the next the weather can change. A warm, sunny day can be overtaken by a violent storm. Dark clouds form, high winds blow, and rain lashes the ground, yet it may be only a few minutes before the sunny weather returns. However, in some parts of the world, such as in parts of the tropics, the weather barely changes for months at a time. There it is always hot and heavy rains fall. Meteorologists are scientists who measure and forecast the weather. They do this by studying clouds, winds, and the temperature and pressure of Earthâ€™s atmosphere. But despite the use of satellites, computers, and other technology in weather forecasting, weather remains a force of nature that is hard to predict. Several thousand weather stations on land, ships, and aircraft measure weather conditions around the world. The stations contain instruments that record temperature, rainfall, the speed and direction of wind, air pressure, and humidity (the amount of water vapor in the air). Balloons called radiosondes carry instruments to take measurements high in the air. Weather satellites in space send back pictures of the clouds."
Which of the following is NOT true?,"Weather stations are not built on land only,",Weather stations contain highty advanced equipment.,Radiosondes are balloons that take certain tools high in the air.,Computers and satellites make it possible to predict weather without any difficulty.,94.0,0.0,1.0,4.0,,,,"Weather describes conditions, such as rain, wind, and sunshine, that occur during a short period of time in a particular place; climate is the overall pattern of weather in a region. From one moment to the next the weather can change. A warm, sunny day can be overtaken by a violent storm. Dark clouds form, high winds blow, and rain lashes the ground, yet it may be only a few minutes before the sunny weather returns. However, in some parts of the world, such as in parts of the tropics, the weather barely changes for months at a time. There it is always hot and heavy rains fall. Meteorologists are scientists who measure and forecast the weather. They do this by studying clouds, winds, and the temperature and pressure of Earthâ€™s atmosphere. But despite the use of satellites, computers, and other technology in weather forecasting, weather remains a force of nature that is hard to predict. Several thousand weather stations on land, ships, and aircraft measure weather conditions around the world. The stations contain instruments that record temperature, rainfall, the speed and direction of wind, air pressure, and humidity (the amount of water vapor in the air). Balloons called radiosondes carry instruments to take measurements high in the air. Weather satellites in space send back pictures of the clouds."
Helen is ... good English teacher that I'm sure you will be happy with her.,so,soa,very,such a,94.0,1.0,1.0,4.0,1.0,,,
Our neighbor's big dog is very ... and my little girl is usually ... whenshe sees it.,frightened/frightened,frightened/frightening,frightening/frightening,frightening/frightened,94.0,1.0,1.0,4.0,1.0,,,
The new high-quality models of sunglasses are going to ... in our factory nextyear.,be produced,be producing,produced,produce,94.0,1.0,1.0,1.0,1.0,,,
"Unfortunately, I forgot to email the photographs ... at the birthday party tomy friends.",taken,which took,were taken,that I took them,94.0,1.0,1.0,1.0,1.0,,,
Reza is sick and the doctor has advised him to ... the amount of fat in hisfood.,ignore,reduce,prepare,destroy,94.0,1.0,1.0,2.0,,1.0,,
"This type of plant, which is rare here, is ... found in the mountains of SouthAmerica.",briefly,formally,commonly,efficiently,94.0,1.0,1.0,3.0,,1.0,,
"Mr. Alavi is interested in Asian countries, so he went on a long journey of ...into China.",prediction,destination,exploration,communication,94.0,1.0,1.0,3.0,,1.0,,
"Our plans are very ... , so we can meet you either on Wednesday or onThursday.",private,flexible,actual,immediate,94.0,1.0,1.0,2.0,,1.0,,
Muslims always ... their shoes before entering a mosque or other holyplaces.,take off,turn off,make up,call up,94.0,1.0,1.0,1.0,,1.0,,
"In my opinion, the climbing of Mount Everest was an excellent example of human ...",device,gesture,mystery,endeavor,94.0,1.0,1.0,4.0,,1.0,,
Both Mr. and Mrs. Karimi are worried about their son because he does not take life ...,regularly,seriously,emotionally,comfortably,94.0,1.0,1.0,2.0,,1.0,,
"She was not in a good mood, so she welcomed her guests with a(n) ... smileon her face.",brilliant,primary,artificial,effective,94.0,1.0,1.0,3.0,,1.0,,
"The earliest known people of North America were Indians and Eskimos. They probably
(88), cxsesageaye to North America from Asia by way of Alaska, over a long
(89) ... of time. They spread to the east and south throughout North America.
The Eskimos and many of the Indian tribes lived in undeveloped ways, (90) ...
stone weapons and tools. Many were wandering hunters in the (91) ... and
forests. The Indians of Mexico and Central America had an advanced civilization, with
fine buildings, art, and systems of law and (92) ... The greatest of the ancient
Indian peoples, among them the Mayas and Aztecs, built beautiful stone temples and
palaces.
",migrated,increased,stretched,survived,94.0,1.0,1.0,1.0,,,,
"The earliest known people of North America were Indians and Eskimos. They probably
(88), cxsesageaye to North America from Asia by way of Alaska, over a long
(89) ... of time. They spread to the east and south throughout North America.
The Eskimos and many of the Indian tribes lived in undeveloped ways, (90) ...
stone weapons and tools. Many were wandering hunters in the (91) ... and
forests. The Indians of Mexico and Central America had an advanced civilization, with
fine buildings, art, and systems of law and (92) ... The greatest of the ancient
Indian peoples, among them the Mayas and Aztecs, built beautiful stone temples and
palaces.
",phase,pattern,period,process,94.0,1.0,1.0,3.0,,,,
"The earliest known people of North America were Indians and Eskimos. They probably
(88), cxsesageaye to North America from Asia by way of Alaska, over a long
(89) ... of time. They spread to the east and south throughout North America.
The Eskimos and many of the Indian tribes lived in undeveloped ways, (90) ...
stone weapons and tools. Many were wandering hunters in the (91) ... and
forests. The Indians of Mexico and Central America had an advanced civilization, with
fine buildings, art, and systems of law and (92) ... The greatest of the ancient
Indian peoples, among them the Mayas and Aztecs, built beautiful stone temples and
palaces.
",used,using,for using,they used,94.0,1.0,1.0,2.0,,,,
"The earliest known people of North America were Indians and Eskimos. They probably
(88), cxsesageaye to North America from Asia by way of Alaska, over a long
(89) ... of time. They spread to the east and south throughout North America.
The Eskimos and many of the Indian tribes lived in undeveloped ways, (90) ...
stone weapons and tools. Many were wandering hunters in the (91) ... and
forests. The Indians of Mexico and Central America had an advanced civilization, with
fine buildings, art, and systems of law and (92) ... The greatest of the ancient
Indian peoples, among them the Mayas and Aztecs, built beautiful stone temples and
palaces.
",communities,planets,towers,plains,94.0,1.0,1.0,4.0,,,,
"The earliest known people of North America were Indians and Eskimos. They probably
(88), cxsesageaye to North America from Asia by way of Alaska, over a long
(89) ... of time. They spread to the east and south throughout North America.
The Eskimos and many of the Indian tribes lived in undeveloped ways, (90) ...
stone weapons and tools. Many were wandering hunters in the (91) ... and
forests. The Indians of Mexico and Central America had an advanced civilization, with
fine buildings, art, and systems of law and (92) ... The greatest of the ancient
Indian peoples, among them the Mayas and Aztecs, built beautiful stone temples and
palaces.
",document,department,environment,government,94.0,1.0,1.0,4.0,,,,
Which of the following is the best title for the passage?,Living Animals in Nature,Saving Animals and Plants,Ecology and Food Webs,Nature: A Complicated Machine,94.0,1.0,1.0,3.0,,,,"We can look at nature in the same way that we look at a complicated machine, to see how all the parts fit together. Every living thing has its place in nature, and ecology is the study of how things live in relation to their surroundings. It is a relatively new science and is of great importance today. It helps us understand how plants and animals depend on each other and their surroundings in order to survive. Ecology also helps us work toward saving animals and plants from extinction and solving the problems caused by pollution. Plants and animals can be divided into different groups, depending on their ecological function. Plants capture the Sun's light energy and use it to produce new growth, so they are called producers; animals consume plants and other animals, so they are called consumers. All the plants and animals that live in one area and feed off each other make up a community. The relationship between the plants and animals in a community is called a food web; energy passes through the community via these food webs."
Which of the following is NOT true about ecology?,"It studies the relationship between plans, animals and the environment.",It divides plants and animals into different groups.,It is a rather new field of study.,It is a very important science.,94.0,1.0,1.0,2.0,,,,"We can look at nature in the same way that we look at a complicated machine, to see how all the parts fit together. Every living thing has its place in nature, and ecology is the study of how things live in relation to their surroundings. It is a relatively new science and is of great importance today. It helps us understand how plants and animals depend on each other and their surroundings in order to survive. Ecology also helps us work toward saving animals and plants from extinction and solving the problems caused by pollution. Plants and animals can be divided into different groups, depending on their ecological function. Plants capture the Sun's light energy and use it to produce new growth, so they are called producers; animals consume plants and other animals, so they are called consumers. All the plants and animals that live in one area and feed off each other make up a community. The relationship between the plants and animals in a community is called a food web; energy passes through the community via these food webs."
"What does the word ""they"" in line 9 refer to?",Plants,Animals,Producers,Both animals and plants,94.0,1.0,1.0,2.0,,,,"We can look at nature in the same way that we look at a complicated machine, to see how all the parts fit together. Every living thing has its place in nature, and ecology is the study of how things live in relation to their surroundings. It is a relatively new science and is of great importance today. It helps us understand how plants and animals depend on each other and their surroundings in order to survive. Ecology also helps us work toward saving animals and plants from extinction and solving the problems caused by pollution. Plants and animals can be divided into different groups, depending on their ecological function. Plants capture the Sun's light energy and use it to produce new growth, so they are called producers; animals consume plants and other animals, so they are called consumers. All the plants and animals that live in one area and feed off each other make up a community. The relationship between the plants and animals in a community is called a food web; energy passes through the community via these food webs."
Which of the following can be concluded from the passage?,The main ecological function of a food web is to capture the Sun's light.,The main problem made by pollution is the extinction of plants and animals.,All plants that produce food for human beings and animals form a community.,"In order to have a healthy environment, both producers and consumers are needed.",94.0,1.0,1.0,4.0,,,,"We can look at nature in the same way that we look at a complicated machine, to see how all the parts fit together. Every living thing has its place in nature, and ecology is the study of how things live in relation to their surroundings. It is a relatively new science and is of great importance today. It helps us understand how plants and animals depend on each other and their surroundings in order to survive. Ecology also helps us work toward saving animals and plants from extinction and solving the problems caused by pollution. Plants and animals can be divided into different groups, depending on their ecological function. Plants capture the Sun's light energy and use it to produce new growth, so they are called producers; animals consume plants and other animals, so they are called consumers. All the plants and animals that live in one area and feed off each other make up a community. The relationship between the plants and animals in a community is called a food web; energy passes through the community via these food webs."
Which of the following is NOT true about Boyle?,He somehow predicted the emergence of modern atomic theories.,He devoted his life to studying and doing scientific experiments.,He met the great scientist Galileo when he was in Europe.,He went to Europe when he was only 11 years old.,94.0,1.0,1.0,3.0,,,,"Robert Boyle (1627-1691) lived at a time when many young men in England were becoming interested in science and in making scientific experiments. He himself was a great scientist in chemistry. His life was spent in scientific research and he made a number of important discoveries. He was one of a group of learned men who often met together to discuss new developments and discoveries in science; this ""invisible college,"" as it was called, eventually became the Royal Society in 1660. Boyle was born in Ireland. When he was eight years old, he went to school at Eton, in England, and three years later he set off to travel in Europe with his French private teacher. While he was in Italy, he studied the work of the great scientist Galileo. Having returned home, he began carrying out his own experiments. He and his assistant, the inventor Robert Hooke, made an air-pump which enabled him to perform experiments with air and to discover, for example, that air is essential for breathing, for burning, and for the transmission of sound. Boyle believed that all matter was made up of what he called ""primary particles"" and thus he anticipated modern atomic theories."
"What does the ""invisible college"" refer to in the first paragraph?",Boyle's regular meetings with other scientists,The Royal Society that Boyle established himself,Secret discussions on new developments in science,The building where Boyle did his scientific experiments,94.0,1.0,1.0,1.0,,,,"Robert Boyle (1627-1691) lived at a time when many young men in England were becoming interested in science and in making scientific experiments. He himself was a great scientist in chemistry. His life was spent in scientific research and he made a number of important discoveries. He was one of a group of learned men who often met together to discuss new developments and discoveries in science; this ""invisible college,"" as it was called, eventually became the Royal Society in 1660. Boyle was born in Ireland. When he was eight years old, he went to school at Eton, in England, and three years later he set off to travel in Europe with his French private teacher. While he was in Italy, he studied the work of the great scientist Galileo. Having returned home, he began carrying out his own experiments. He and his assistant, the inventor Robert Hooke, made an air-pump which enabled him to perform experiments with air and to discover, for example, that air is essential for breathing, for burning, and for the transmission of sound. Boyle believed that all matter was made up of what he called ""primary particles"" and thus he anticipated modern atomic theories."
Which of the following countries is NOT mentioned in the passage?,Italy,England,Ireland,France,94.0,1.0,1.0,4.0,,,,"Robert Boyle (1627-1691) lived at a time when many young men in England were becoming interested in science and in making scientific experiments. He himself was a great scientist in chemistry. His life was spent in scientific research and he made a number of important discoveries. He was one of a group of learned men who often met together to discuss new developments and discoveries in science; this ""invisible college,"" as it was called, eventually became the Royal Society in 1660. Boyle was born in Ireland. When he was eight years old, he went to school at Eton, in England, and three years later he set off to travel in Europe with his French private teacher. While he was in Italy, he studied the work of the great scientist Galileo. Having returned home, he began carrying out his own experiments. He and his assistant, the inventor Robert Hooke, made an air-pump which enabled him to perform experiments with air and to discover, for example, that air is essential for breathing, for burning, and for the transmission of sound. Boyle believed that all matter was made up of what he called ""primary particles"" and thus he anticipated modern atomic theories."
Which of the following can be concluded from the passage?,Boyle was most probably born in a family with a good financial status.,The air-pump enabled Boyle to develop his theory of primary particles.,It was Robert Hooke who helped Boyle make most of his discoveries.,"While traveling in Europe, Boyle and Hooke made an air-pump.",94.0,1.0,1.0,1.0,,,,"Robert Boyle (1627-1691) lived at a time when many young men in England were becoming interested in science and in making scientific experiments. He himself was a great scientist in chemistry. His life was spent in scientific research and he made a number of important discoveries. He was one of a group of learned men who often met together to discuss new developments and discoveries in science; this ""invisible college,"" as it was called, eventually became the Royal Society in 1660. Boyle was born in Ireland. When he was eight years old, he went to school at Eton, in England, and three years later he set off to travel in Europe with his French private teacher. While he was in Italy, he studied the work of the great scientist Galileo. Having returned home, he began carrying out his own experiments. He and his assistant, the inventor Robert Hooke, made an air-pump which enabled him to perform experiments with air and to discover, for example, that air is essential for breathing, for burning, and for the transmission of sound. Boyle believed that all matter was made up of what he called ""primary particles"" and thus he anticipated modern atomic theories."
"I have to talk to the manager, ... he has free time to see me or not.",as,while,since,whether,94.0,2.0,1.0,4.0,1.0,,,
Most of the final English exam questions were too difficult for most of the studentsin the class ...,answered,to answer,for answering,that they answer,94.0,2.0,1.0,2.0,1.0,,,
"A: ""Can I help you?""B: ""Yes, I'm looking for a ... dress for my daughter.""","small, pink, cotton","small, cotton, pink","pink, small, cotton","cotton, small, pink",94.0,2.0,1.0,1.0,1.0,,,
Hurry up! This information should ... to Mary and her family as soon aspossible.,be sent,be sending,have sent,being sent,94.0,2.0,1.0,1.0,1.0,,,
Wet weather is a ... of life m many countries of the world like Scotland.,period,manner,feature,sample,94.0,2.0,1.0,3.0,,1.0,,
Ali and Mahdi run a large company together and are very good business ...,winners,laborers,partners,apprentices,94.0,2.0,1.0,3.0,,1.0,,
"A: ""Did you... anything unusual in his behavior?""B: ""Yes, and I think he needs to go to a psychologist.""",inform,perform,evaluate,observe,94.0,2.0,1.0,4.0,,1.0,,
I would like to know how Helen manages to keep ... before examinations.,firm,calm,similar,natural,94.0,2.0,1.0,2.0,,1.0,,
I haven't been to China ... but I have read a lot of books about its cultureand people.,entirely,personally,immediately,internationally,94.0,2.0,1.0,2.0,,1.0,,
"If you go to any doctor, they will ... the importance of good nutrition for yourhealth.",organize,protect,emphasize,encourage,94.0,2.0,1.0,3.0,,1.0,,
Iam sure this is an event that will ... in your mind for quite a long time.,stick,survive,bother,suffer,94.0,2.0,1.0,1.0,,1.0,,
"Mr. Karimi has always been dreaming of traveling to ... lands, particularlythe ones in South America.",global,complex,flexible,distant,94.0,2.0,1.0,4.0,,1.0,,
"Many people believe that the Spanish painter Pablo Picasso (2881-1973)  was
(88) ... creative and influential artist of the 20th century. From a very young age,
Picasso was (89) ... skillful at drawing and painting. His restless personality led
him to paint in many different styles. One style was his ""blue period"" of painting, when
he (90) ... on blue as the main color for his pictures. In 1907, Picasso painted a
picture called Les Demoiselles D'Avignon, (91) ...66 shocked many people - it was a
painting of human figures represented by angular and distorted (92) ... . This led to
a style of painting called cubism.
",most,the most,more than,more of a,94.0,2.0,1.0,2.0,,,,
"Many people believe that the Spanish painter Pablo Picasso (2881-1973)  was
(88) ... creative and influential artist of the 20th century. From a very young age,
Picasso was (89) ... skillful at drawing and painting. His restless personality led
him to paint in many different styles. One style was his ""blue period"" of painting, when
he (90) ... on blue as the main color for his pictures. In 1907, Picasso painted a
picture called Les Demoiselles D'Avignon, (91) ...66 shocked many people - it was a
painting of human figures represented by angular and distorted (92) ... . This led to
a style of painting called cubism.
",commonly,previously,extremely,regularly,94.0,2.0,1.0,3.0,,,,
"Many people believe that the Spanish painter Pablo Picasso (2881-1973)  was
(88) ... creative and influential artist of the 20th century. From a very young age,
Picasso was (89) ... skillful at drawing and painting. His restless personality led
him to paint in many different styles. One style was his ""blue period"" of painting, when
he (90) ... on blue as the main color for his pictures. In 1907, Picasso painted a
picture called Les Demoiselles D'Avignon, (91) ...66 shocked many people - it was a
painting of human figures represented by angular and distorted (92) ... . This led to
a style of painting called cubism.
",connected,constructed,compared,concentrated ,94.0,2.0,1.0,4.0,,,,
"Many people believe that the Spanish painter Pablo Picasso (2881-1973)  was
(88) ... creative and influential artist of the 20th century. From a very young age,
Picasso was (89) ... skillful at drawing and painting. His restless personality led
him to paint in many different styles. One style was his ""blue period"" of painting, when
he (90) ... on blue as the main color for his pictures. In 1907, Picasso painted a
picture called Les Demoiselles D'Avignon, (91) ...66 shocked many people - it was a
painting of human figures represented by angular and distorted (92) ... . This led to
a style of painting called cubism.
", it ,who,this,which,94.0,2.0,1.0,4.0,,,,
"Many people believe that the Spanish painter Pablo Picasso (2881-1973)  was
(88) ... creative and influential artist of the 20th century. From a very young age,
Picasso was (89) ... skillful at drawing and painting. His restless personality led
him to paint in many different styles. One style was his ""blue period"" of painting, when
he (90) ... on blue as the main color for his pictures. In 1907, Picasso painted a
picture called Les Demoiselles D'Avignon, (91) ...66 shocked many people - it was a
painting of human figures represented by angular and distorted (92) ... . This led to
a style of painting called cubism.
",shapes,phases,issues,terms,94.0,2.0,1.0,1.0,,,,
Which of the following would be the best title for the passage?,Uses of Photography,History of Photography,Photography in Toeday's World,Photography in the 19th Century,94.0,2.0,1.0,2.0,,,,"More than two hundred million times a day, a camera shutter clicks somewhere in the world to take a photograph. There are family snapshots capturing happy memories, dramatic news pictures, pictures of the planet beamed back from satellites in space, and much more. The uses of photography are numerous, and new applications are being found all the time. The first photographs were made by coating sheets of polished metal with light-sensitive chemicals, but the images appeared in dull, silvery gray and could only be seen from certain angles. During the 19th century, new processes were invented for spreading the chemicals onto a glass plate or onto a film of cellulose (a kind of plastic). Eventually, photographs could be made in either black-and-white or full color. Film is still in use today, although it is quickly being replaced by digital photography. Digital cameras use a light-sensitive chip, instead of film, and store pictures as digital image files that can be transferred to a computer. There, they can be altered before being printed or sent anywhere in the world via the Internet."
Which of the following is NOT mentioned as one of the daily reasons for taking pictures?,News stories,Space exploration,Happy family gatherings,Advertising purposes,94.0,2.0,1.0,4.0,,,,"More than two hundred million times a day, a camera shutter clicks somewhere in the world to take a photograph. There are family snapshots capturing happy memories, dramatic news pictures, pictures of the planet beamed back from satellites in space, and much more. The uses of photography are numerous, and new applications are being found all the time. The first photographs were made by coating sheets of polished metal with light-sensitive chemicals, but the images appeared in dull, silvery gray and could only be seen from certain angles. During the 19th century, new processes were invented for spreading the chemicals onto a glass plate or onto a film of cellulose (a kind of plastic). Eventually, photographs could be made in either black-and-white or full color. Film is still in use today, although it is quickly being replaced by digital photography. Digital cameras use a light-sensitive chip, instead of film, and store pictures as digital image files that can be transferred to a computer. There, they can be altered before being printed or sent anywhere in the world via the Internet."
Which of the following is TRUE about early photographs?,They were made with the use of some chemicals,They were visible from every perspective.,They were made from a film of cellulose.,"They were clear, yet gray in color.",94.0,2.0,,1.0,,,,"More than two hundred million times a day, a camera shutter clicks somewhere in the world to take a photograph. There are family snapshots capturing happy memories, dramatic news pictures, pictures of the planet beamed back from satellites in space, and much more. The uses of photography are numerous, and new applications are being found all the time. The first photographs were made by coating sheets of polished metal with light-sensitive chemicals, but the images appeared in dull, silvery gray and could only be seen from certain angles. During the 19th century, new processes were invented for spreading the chemicals onto a glass plate or onto a film of cellulose (a kind of plastic). Eventually, photographs could be made in either black-and-white or full color. Film is still in use today, although it is quickly being replaced by digital photography. Digital cameras use a light-sensitive chip, instead of film, and store pictures as digital image files that can be transferred to a computer. There, they can be altered before being printed or sent anywhere in the world via the Internet."
"What does the word ""store"" in line 11 mean?",Join,Show,Save,Provide,94.0,2.0,1.0,3.0,,,,"More than two hundred million times a day, a camera shutter clicks somewhere in the world to take a photograph. There are family snapshots capturing happy memories, dramatic news pictures, pictures of the planet beamed back from satellites in space, and much more. The uses of photography are numerous, and new applications are being found all the time. The first photographs were made by coating sheets of polished metal with light-sensitive chemicals, but the images appeared in dull, silvery gray and could only be seen from certain angles. During the 19th century, new processes were invented for spreading the chemicals onto a glass plate or onto a film of cellulose (a kind of plastic). Eventually, photographs could be made in either black-and-white or full color. Film is still in use today, although it is quickly being replaced by digital photography. Digital cameras use a light-sensitive chip, instead of film, and store pictures as digital image files that can be transferred to a computer. There, they can be altered before being printed or sent anywhere in the world via the Internet."
"According to the passage, which of the following was Leonardo NOT good at?",Art,Biology,Chemistry,Psychology,94.0,2.0,1.0,3.0,,,,"Leonardo da Vinci was born in 1452 in the area of Florence, Italy. He did many things. He was a scientist, inventor, musician, mathematician, and architect. He knew about animals and plants, too. He could do many things well. Leonardo was famous for his painting. He painted the Mona Lisa and The Last Supper. They are his most famous paintings, and many people know about them. He started working on The Last Supper in 1495 in Milan and finished it in 1498. He started working on the Mona Lisa in 1503 in Italy and finished it a short time before he died. It is now in France. Leonardo's paintings were very good. He understood how human bodies worked. Besides, he knew how happy or sad people looked because he knew how emotion looked on people's faces. Since he understood nature, light, and shadow, his paintings looked real. Leonardo had many ideas for inventions. He drew plans for a helicopter as well as a tank. He even had an idea for a calculator. He had an idea for making solar power, which is power that comes from the sun. Leonardo lived at the same time as Michelangelo and Raphael. He was 27 years older than Michelangelo and 31 years older than Raphael. Leonardo died in 1519."
"What does the word ""them"" in line 5 refer to?",Many people,Animals and plants,All Leonardo's paintings,Mona Lisa and The Last Supper,94.0,2.0,1.0,4.0,,,,"Leonardo da Vinci was born in 1452 in the area of Florence, Italy. He did many things. He was a scientist, inventor, musician, mathematician, and architect. He knew about animals and plants, too. He could do many things well. Leonardo was famous for his painting. He painted the Mona Lisa and The Last Supper. They are his most famous paintings, and many people know about them. He started working on The Last Supper in 1495 in Milan and finished it in 1498. He started working on the Mona Lisa in 1503 in Italy and finished it a short time before he died. It is now in France. Leonardo's paintings were very good. He understood how human bodies worked. Besides, he knew how happy or sad people looked because he knew how emotion looked on people's faces. Since he understood nature, light, and shadow, his paintings looked real. Leonardo had many ideas for inventions. He drew plans for a helicopter as well as a tank. He even had an idea for a calculator. He had an idea for making solar power, which is power that comes from the sun. Leonardo lived at the same time as Michelangelo and Raphael. He was 27 years older than Michelangelo and 31 years older than Raphael. Leonardo died in 1519."
